timestamp,paciente_id,paciente_nome,paciente_cpf,hr,spo2,pressao_sys,pressao_dia,temp,resp_freq,status
20:31:32.81,PAC001,João Silva,123.456.789-09,79.0,95.8,150.0,96.0,36.7,15.531726086101639,NORMAL
20:31:33.01,PAC001,João Silva,123.456.789-09,83.0,97.2,141.0,91.0,36.7,15.068540492859487,NORMAL
20:31:33.21,PAC001,João Silva,123.456.789-09,79.0,93.1,131.0,85.0,36.5,16.628494665190548,NORMAL
20:31:33.41,PAC001,João Silva,123.456.789-09,75.0,93.9,157.0,87.0,36.8,13.150503627573087,NORMAL
20:31:33.61,PAC001,João Silva,123.456.789-09,76.0,96.2,136.0,90.0,36.6,15.416612500413446,NORMAL
20:31:33.81,PAC001,João Silva,123.456.789-09,76.0,98.8,145.0,83.0,37.0,13.558312700057956,NORMAL
20:31:34.01,PAC001,João Silva,123.456.789-09,79.0,93.1,134.0,89.0,37.0,16.34273656237994,NORMAL
20:31:34.21,PAC001,João Silva,123.456.789-09,78.0,95.5,133.0,84.0,36.7,18.11424445243783,NORMAL
20:31:34.41,PAC001,João Silva,123.456.789-09,79.0,93.4,148.0,86.0,36.6,17.223352577681737,NORMAL
20:31:34.61,PAC001,João Silva,123.456.789-09,81.0,97.4,138.0,86.0,36.9,17.95109025424472,NORMAL
20:31:34.81,PAC001,João Silva,123.456.789-09,77.0,95.7,136.0,82.0,37.0,18.712480057141647,NORMAL
20:31:35.01,PAC001,João Silva,123.456.789-09,78.0,97.5,148.0,85.0,36.9,19.07607313293194,NORMAL
20:31:35.21,PAC001,João Silva,123.456.789-09,78.0,98.3,124.0,92.0,36.8,15.401985299068265,NORMAL
20:31:35.41,PAC001,João Silva,123.456.789-09,78.0,93.0,143.0,90.0,37.2,14.963459563452705,NORMAL
20:31:35.61,PAC001,João Silva,123.456.789-09,76.0,95.2,152.0,90.0,36.6,17.02653486622671,NORMAL
20:31:35.81,PAC001,João Silva,123.456.789-09,78.0,97.5,139.0,86.0,36.7,13.072970103735763,NORMAL
20:31:36.01,PAC001,João Silva,123.456.789-09,79.0,96.4,145.0,87.0,36.4,15.158709354469282,NORMAL
20:31:36.21,PAC001,João Silva,123.456.789-09,77.0,94.8,144.0,90.0,37.4,16.349155625663677,NORMAL
20:31:36.41,PAC001,João Silva,123.456.789-09,79.0,95.9,130.0,88.0,36.8,20.926484224970572,NORMAL
20:31:36.61,PAC001,João Silva,123.456.789-09,77.0,96.5,145.0,82.0,37.1,17.503866065373547,NORMAL
20:31:36.81,PAC001,João Silva,123.456.789-09,80.0,94.6,156.0,81.0,37.0,20.380911251619956,NORMAL
20:31:37.01,PAC001,João Silva,123.456.789-09,75.0,95.2,146.0,85.0,36.3,16.137125949612056,NORMAL
20:31:37.21,PAC001,João Silva,123.456.789-09,75.0,96.7,138.0,96.0,36.6,15.35587696758865,NORMAL
20:31:37.41,PAC001,João Silva,123.456.789-09,80.0,94.2,147.0,95.0,36.3,16.36926771706461,NORMAL
20:31:37.61,PAC001,João Silva,123.456.789-09,79.0,97.2,135.0,81.0,37.0,16.593969346466373,NORMAL
20:31:37.81,PAC001,João Silva,123.456.789-09,79.0,96.5,140.0,89.0,36.9,14.571297163947264,NORMAL
20:31:38.01,PAC001,João Silva,123.456.789-09,84.0,96.7,135.0,91.0,36.5,17.574169207484903,NORMAL
20:31:38.21,PAC001,João Silva,123.456.789-09,81.0,94.8,153.0,90.0,37.0,19.793585965307894,NORMAL
20:31:38.41,PAC001,João Silva,123.456.789-09,77.0,94.9,138.0,84.0,36.8,16.682303949633287,NORMAL
20:31:38.61,PAC001,João Silva,123.456.789-09,79.0,97.2,145.0,95.0,36.7,21.440338333179238,NORMAL
20:31:38.81,PAC001,João Silva,123.456.789-09,80.0,94.7,136.0,90.0,36.7,17.428000988184184,NORMAL
20:31:39.01,PAC001,João Silva,123.456.789-09,79.0,95.9,138.0,80.0,36.7,17.712797588646943,NORMAL
20:31:39.21,PAC001,João Silva,123.456.789-09,79.0,94.1,146.0,90.0,36.5,16.307450211891055,NORMAL
20:31:39.41,PAC001,João Silva,123.456.789-09,78.0,94.3,148.0,91.0,37.1,18.107604104069807,NORMAL
20:31:39.61,PAC001,João Silva,123.456.789-09,74.0,94.6,149.0,91.0,37.0,23.70546298130944,NORMAL
20:31:39.81,PAC001,João Silva,123.456.789-09,80.0,97.7,153.0,91.0,36.7,17.517938440986534,NORMAL
20:31:40.01,PAC001,João Silva,123.456.789-09,76.0,95.6,141.0,88.0,37.5,12.265469614816503,NORMAL
20:31:40.21,PAC001,João Silva,123.456.789-09,80.0,93.6,141.0,93.0,36.8,13.844510444141388,NORMAL
20:31:40.41,PAC001,João Silva,123.456.789-09,76.0,97.0,139.0,89.0,36.8,14.696799304788366,NORMAL
20:31:40.61,PAC001,João Silva,123.456.789-09,84.0,97.0,129.0,89.0,36.6,17.704866669592448,NORMAL
20:31:40.81,PAC001,João Silva,123.456.789-09,76.0,95.8,149.0,92.0,36.4,15.330997528318104,NORMAL
20:31:41.01,PAC001,João Silva,123.456.789-09,77.0,95.0,159.0,90.0,36.4,17.835723894109552,NORMAL
20:31:41.21,PAC001,João Silva,123.456.789-09,84.0,97.5,133.0,86.0,37.2,14.584661068762438,NORMAL
20:31:41.41,PAC001,João Silva,123.456.789-09,79.0,97.2,138.0,88.0,35.8,13.95122471733142,NORMAL
20:31:41.61,PAC001,João Silva,123.456.789-09,77.0,94.1,158.0,81.0,36.7,16.261481154572184,NORMAL
20:31:41.81,PAC001,João Silva,123.456.789-09,82.0,93.8,154.0,88.0,36.5,16.924206948526543,NORMAL
20:31:42.01,PAC001,João Silva,123.456.789-09,79.0,95.1,146.0,86.0,36.8,17.324261349042093,NORMAL
20:31:42.21,PAC001,João Silva,123.456.789-09,83.0,94.1,162.0,78.0,36.8,17.176634412969154,NORMAL
20:31:42.41,PAC001,João Silva,123.456.789-09,79.0,95.1,143.0,86.0,36.6,17.69920419404205,NORMAL
20:31:42.61,PAC001,João Silva,123.456.789-09,79.0,95.0,152.0,90.0,37.0,17.259257683847224,NORMAL
20:31:42.81,PAC001,João Silva,123.456.789-09,76.0,95.2,151.0,91.0,36.8,16.234654766617563,NORMAL
20:31:43.01,PAC001,João Silva,123.456.789-09,82.0,95.1,149.0,87.0,36.7,18.19755370397438,NORMAL
20:31:43.21,PAC001,João Silva,123.456.789-09,80.0,97.2,155.0,88.0,37.0,15.379466486813088,NORMAL
20:31:43.41,PAC001,João Silva,123.456.789-09,79.0,95.8,146.0,91.0,36.6,20.18477455137092,NORMAL
20:31:43.61,PAC001,João Silva,123.456.789-09,75.0,94.2,154.0,92.0,37.0,17.25669101852856,NORMAL
20:31:43.81,PAC001,João Silva,123.456.789-09,78.0,94.7,146.0,85.0,37.1,15.705885236995723,NORMAL
20:31:44.01,PAC001,João Silva,123.456.789-09,76.0,95.5,148.0,85.0,36.6,16.487374422983823,NORMAL
20:31:44.21,PAC001,João Silva,123.456.789-09,79.0,95.2,141.0,89.0,36.4,13.185072451246889,NORMAL
20:31:44.41,PAC001,João Silva,123.456.789-09,76.0,95.7,147.0,95.0,37.1,15.680122940073145,NORMAL
20:31:44.61,PAC001,João Silva,123.456.789-09,78.0,94.5,145.0,87.0,36.9,14.345538112895355,NORMAL
20:31:44.81,PAC001,João Silva,123.456.789-09,80.0,98.3,144.0,90.0,37.0,15.197559056228327,NORMAL
20:31:45.01,PAC001,João Silva,123.456.789-09,79.0,96.0,146.0,84.0,36.8,16.9959965824909,NORMAL
20:31:45.21,PAC001,João Silva,123.456.789-09,82.0,97.4,162.0,84.0,37.1,16.366684011476703,NORMAL
20:31:45.41,PAC001,João Silva,123.456.789-09,85.0,94.8,138.0,85.0,36.2,14.948489956638477,NORMAL
20:31:45.61,PAC001,João Silva,123.456.789-09,76.0,96.2,148.0,97.0,37.1,14.846192688675194,NORMAL
20:31:45.81,PAC001,João Silva,123.456.789-09,75.0,96.7,134.0,97.0,37.2,15.061648695790591,NORMAL
20:31:46.01,PAC001,João Silva,123.456.789-09,73.0,98.0,144.0,94.0,36.3,14.801249954092455,NORMAL
20:31:46.21,PAC001,João Silva,123.456.789-09,78.0,96.1,141.0,91.0,36.5,15.715241029957413,NORMAL
20:31:46.41,PAC001,João Silva,123.456.789-09,78.0,96.8,151.0,82.0,36.3,18.55535364379702,NORMAL
20:31:46.61,PAC001,João Silva,123.456.789-09,79.0,94.9,157.0,89.0,37.2,16.13503696282022,NORMAL
20:31:46.81,PAC001,João Silva,123.456.789-09,84.0,98.6,143.0,93.0,37.0,18.737263115064696,NORMAL
20:31:47.01,PAC001,João Silva,123.456.789-09,75.0,97.0,153.0,79.0,36.4,11.9215356444798,NORMAL
20:31:47.21,PAC001,João Silva,123.456.789-09,77.0,97.1,157.0,88.0,37.3,13.239797083570217,NORMAL
20:31:47.41,PAC001,João Silva,123.456.789-09,73.0,95.9,148.0,88.0,36.2,15.821759920974424,NORMAL
20:31:47.61,PAC001,João Silva,123.456.789-09,74.0,97.0,148.0,83.0,36.6,13.881572956222097,NORMAL
20:31:47.81,PAC001,João Silva,123.456.789-09,78.0,97.4,137.0,91.0,36.6,14.414254335475311,NORMAL
20:31:48.01,PAC001,João Silva,123.456.789-09,78.0,94.4,141.0,82.0,37.4,16.07052710394346,NORMAL
20:31:48.21,PAC001,João Silva,123.456.789-09,76.0,96.3,144.0,87.0,37.0,17.51501542009461,NORMAL
20:31:48.41,PAC001,João Silva,123.456.789-09,76.0,95.1,143.0,76.0,36.3,18.73374853488905,NORMAL
20:31:48.61,PAC001,João Silva,123.456.789-09,83.0,95.6,150.0,90.0,37.7,18.23914982286915,NORMAL
20:31:48.81,PAC001,João Silva,123.456.789-09,78.0,94.6,132.0,89.0,36.6,13.155492580804651,NORMAL
20:31:49.01,PAC001,João Silva,123.456.789-09,76.0,94.4,158.0,92.0,36.8,18.959888277780053,NORMAL
20:31:49.21,PAC001,João Silva,123.456.789-09,78.0,94.7,157.0,91.0,36.5,15.619322643832783,NORMAL
20:31:49.41,PAC001,João Silva,123.456.789-09,75.0,93.9,152.0,98.0,36.4,17.12593847338114,NORMAL
20:31:49.61,PAC001,João Silva,123.456.789-09,76.0,95.3,140.0,84.0,36.8,14.338099767177924,NORMAL
20:31:49.81,PAC001,João Silva,123.456.789-09,79.0,95.9,143.0,83.0,36.6,17.51078245165151,NORMAL
20:31:50.01,PAC001,João Silva,123.456.789-09,80.0,94.5,146.0,92.0,36.3,17.08672038475987,NORMAL
20:31:50.21,PAC001,João Silva,123.456.789-09,76.0,96.9,139.0,79.0,36.3,16.096169893322763,NORMAL
20:31:50.41,PAC001,João Silva,123.456.789-09,79.0,94.6,150.0,80.0,36.8,13.577967600475088,NORMAL
20:31:50.61,PAC001,João Silva,123.456.789-09,76.0,96.1,138.0,86.0,37.1,14.846216260953703,NORMAL
20:31:50.81,PAC001,João Silva,123.456.789-09,81.0,94.3,149.0,95.0,36.1,14.406209489059046,NORMAL
20:31:51.01,PAC001,João Silva,123.456.789-09,80.0,95.7,148.0,85.0,36.8,15.68864552921584,NORMAL
20:31:51.21,PAC001,João Silva,123.456.789-09,82.0,96.4,148.0,86.0,36.7,15.134883624360759,NORMAL
20:31:51.41,PAC001,João Silva,123.456.789-09,79.0,95.4,147.0,98.0,37.1,15.347952935664317,NORMAL
20:31:51.61,PAC001,João Silva,123.456.789-09,82.0,95.4,129.0,83.0,36.2,15.296973031917382,NORMAL
20:31:51.81,PAC001,João Silva,123.456.789-09,78.0,98.5,148.0,87.0,37.0,11.57772938198423,NORMAL
20:31:52.01,PAC001,João Silva,123.456.789-09,79.0,97.2,133.0,94.0,36.9,15.169424172198397,NORMAL
20:31:52.21,PAC001,João Silva,123.456.789-09,80.0,99.4,146.0,89.0,36.7,14.300311261070416,NORMAL
20:31:52.41,PAC001,João Silva,123.456.789-09,80.0,94.7,146.0,86.0,36.9,16.667324210573895,NORMAL
